Rainfall,Avg Temp,Relative Humidity,Sand %,PH Level,Phosohorus,Potassium,Clay %,Category
735.99,5.835,60.0758333333333,50.014,6.6,116.0,466.0,10.236,Low
831.95,5.00416666666666,67.4741666666666,50.014,6.6,116.0,466.0,10.236,Low
548.6,4.80833333333333,66.2083333333333,50.014,6.6,116.0,466.0,10.236,Medium
943.86,5.0575,73.1308333333333,50.014,6.6,116.0,466.0,10.236,Medium
638.89,5.0775,68.485,50.014,6.6,116.0,466.0,10.236,Medium
682.54,5.13833333333333,70.1466666666666,50.014,6.6,116.0,466.0,10.236,Medium
536.41,6.5175,60.8033333333333,50.014,6.6,116.0,466.0,10.236,Medium
653.61,6.01416666666666,65.2533333333333,50.014,6.6,116.0,466.0,10.236,Medium
192.23,6.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
198.23,7.0,53.0,55.365,6.5,97.0,517.0,9.023,Low
245.32,8.0,54.0,55.365,6.5,97.0,517.0,9.023,Low
245.32,5.0,55.0,55.365,6.5,97.0,517.0,9.023,Low
256.32,6.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
256.23,5.0,57.0,55.365,6.5,97.0,517.0,9.023,Low
289.32,6.0,58.0,55.365,6.5,97.0,517.0,9.023,Low
246.25,7.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
245.23,8.0,53.0,55.365,6.5,97.0,517.0,9.023,Low
255.32,6.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
265.65,5.0,54.0,55.365,6.5,97.0,517.0,9.023,Low
145.32,9.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
199.32,10.0,55.0,55.365,6.5,97.0,517.0,9.023,Low
145.62,8.0,57.0,55.365,6.5,97.0,517.0,9.023,Low
254.32,9.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
708.12,22.7108333333333,45.82,37.265,6.9,97.0,198.0,29.654,Medium
1059.98,22.4025,50.4616666666666,37.265,6.9,97.0,198.0,29.654,Medium
1278.69,22.1991666666666,52.3308333333333,37.265,6.9,97.0,198.0,29.654,Medium
1184.07,22.3991666666666,52.9691666666666,37.265,6.9,97.0,198.0,29.654,High
1524.72,21.8141666666666,57.0658333333333,37.265,6.9,97.0,198.0,29.654,High
1637.17,21.7458333333333,58.1341666666666,37.265,6.9,97.0,198.0,29.654,High
1116.18,22.7175,50.6875,37.265,6.9,97.0,198.0,29.654,High
1271.01,22.8633333333333,53.5991666666666,37.265,6.9,97.0,198.0,29.654,High
1615.98,21.6975,58.5983333333333,37.265,6.9,97.0,198.0,29.654,High
1223.29,21.9908333333333,54.3358333333333,37.265,6.9,97.0,198.0,29.654,High
1766.87999999999,21.7358333333333,62.3933333333333,37.265,6.9,97.0,198.0,29.654,High
1241.06,22.3208333333333,54.3625,37.265,6.9,97.0,198.0,29.654,High
1254.16,22.3433333333333,55.0683333333333,37.265,6.9,97.0,198.0,29.654,High
1370.95,22.89,52.37,37.265,6.9,97.0,198.0,29.654,High
1334.9,22.9108333333333,53.9691666666666,37.265,6.9,97.0,198.0,29.654,High
932.04,23.9825,47.6358333333333,43.12,6.8,55.0,210.0,18.354,High
1319.26,23.2625,55.8858333333333,43.12,6.8,55.0,210.0,18.354,High
1195.88,23.5975,54.6816666666666,43.12,6.8,55.0,210.0,18.354,High
1260.66,23.4083333333333,56.5625,43.12,6.8,55.0,210.0,18.354,High
1416.27,22.8983333333333,60.3325,43.12,6.8,55.0,210.0,18.354,High
1661.13999999999,22.9191666666666,61.3783333333333,43.12,6.8,55.0,210.0,18.354,High
1027.59,23.9075,52.0441666666666,43.12,6.8,55.0,210.0,18.354,High
1117.27,24.0758333333333,54.1316666666666,43.12,6.8,55.0,210.0,18.354,High
1268.63,22.95,58.9424999999999,43.12,6.8,55.0,210.0,18.354,High
1113.92,23.1566666666666,53.9358333333333,43.12,6.8,55.0,210.0,18.354,High
1516.05,22.68,60.99,43.12,6.8,55.0,210.0,18.354,High
1402.89,23.22,58.8933333333333,43.12,6.8,55.0,210.0,18.354,High
1341.9,23.6941666666666,57.2758333333333,43.12,6.8,55.0,210.0,18.354,High
1227.07,24.2141666666666,54.9341666666666,43.12,6.8,55.0,210.0,18.354,High
1273.67999999999,24.165,56.6291666666666,43.12,6.8,55.0,210.0,18.354,High
987.45,23.9533333333333,45.0425,41.253,7.0,86.0,220.0,19.365,High
1026.54,23.6608333333333,49.0991666666666,41.253,7.0,86.0,220.0,19.365,High
1262.15,23.3825,51.625,41.253,7.0,86.0,220.0,19.365,High
1153.02,23.685,51.3125,41.253,7.0,86.0,220.0,19.365,High
1509.37,22.9891666666666,56.0166666666666,41.253,7.0,86.0,220.0,19.365,High
1567.85,22.8941666666666,57.3441666666666,41.253,7.0,86.0,220.0,19.365,High
1092.82,23.8783333333333,50.0158333333333,41.253,7.0,86.0,220.0,19.365,High
1266.04,24.0616666666666,53.0991666666666,41.253,7.0,86.0,220.0,19.365,High
1587.87,22.8125,58.5266666666666,41.253,7.0,86.0,220.0,19.365,High
1167.2,23.2191666666666,53.6183333333333,41.253,7.0,86.0,220.0,19.365,High
1732.97,22.8833333333333,62.0083333333333,41.253,7.0,86.0,220.0,19.365,High
1185.46,23.5516666666666,53.0149999999999,41.253,7.0,86.0,220.0,19.365,High
1066.44,23.8066666666666,51.9583333333333,41.253,7.0,86.0,220.0,19.365,High
1155.72999999999,24.3266666666666,49.1808333333333,41.253,7.0,86.0,220.0,19.365,High
1127.33,24.3216666666666,50.8666666666666,41.253,7.0,86.0,220.0,19.365,High
956.03,13.0325,54.4275,57.256,5.7,274.0,343.0,15.265,Low
1122.6,12.4641666666666,64.5275,57.256,5.7,274.0,343.0,15.265,Low
948.3,12.56,62.1425,57.256,5.7,274.0,343.0,15.265,Low
957.54,12.9191666666666,63.4833333333333,57.256,5.7,274.0,343.0,15.265,Low
1050.38,12.5466666666666,66.5225,57.256,5.7,274.0,343.0,15.265,Low
1114.02,12.4966666666666,66.4075,57.256,5.7,274.0,343.0,15.265,Low
743.55,13.2516666666666,57.9,57.256,5.7,274.0,343.0,15.265,Low
916.689999999999,13.3591666666666,60.3675,57.256,5.7,274.0,343.0,15.265,Very Low
968.29,12.35,66.985,57.256,5.7,274.0,343.0,15.265,Very Low
888.71,12.5233333333333,58.6225,57.256,5.7,274.0,343.0,15.265,Very Low
1247.65,12.4891666666666,65.6283333333333,57.256,5.7,274.0,343.0,15.265,Very Low
1179.7,12.6975,66.0733333333333,57.256,5.7,274.0,343.0,15.265,Very Low
1045.44,12.735,67.5874999999999,57.256,5.7,274.0,343.0,15.265,Very Low
1023.98,13.3583333333333,64.8341666666666,57.256,5.7,274.0,343.0,15.265,Very Low
946.12,13.2333333333333,66.0408333333333,57.256,5.7,274.0,343.0,15.265,Very Low
188.32,22.0,51.0,59.35,6.0,198.0,345.0,15.325,Very Low
192.32,25.0,52.0,59.35,6.0,198.0,345.0,15.325,Very Low
155.65,23.0,53.0,59.35,6.0,198.0,345.0,15.325,Very Low
158.32,26.0,55.0,59.35,6.0,198.0,345.0,15.325,Very Low
178.65,24.0,54.0,59.35,6.0,198.0,345.0,15.325,Very Low
198.32,25.0,56.0,59.35,6.0,198.0,345.0,15.325,Very Low
236.23,22.0,58.0,59.35,6.0,198.0,345.0,15.325,Very Low
214.23,26.0,59.0,59.35,6.0,198.0,345.0,15.325,Very Low
245.2,27.0,57.0,59.35,6.0,198.0,345.0,15.325,Very Low
214.3,23.0,56.0,59.35,6.0,198.0,345.0,15.325,Very Low
216.0,25.0,55.0,59.35,6.0,198.0,345.0,15.325,Very Low
235.0,26.0,52.0,59.35,6.0,198.0,345.0,15.325,Very Low
265.0,24.0,53.0,59.35,6.0,198.0,345.0,15.325,Very Low
158.0,23.0,54.0,59.35,6.0,198.0,345.0,15.325,Very Low
189.0,22.0,54.0,59.35,6.0,198.0,345.0,15.325,Very Low
1117.86,22.5166666666666,45.9366666666666,49.356,6.12,83.25,260.24,14.655,Medium
1292.47,21.6383333333333,56.1658333333333,49.356,6.12,83.25,260.24,14.655,Medium
1208.55,21.9124999999999,54.875,49.356,6.12,83.25,260.24,14.655,Medium
1222.21,21.8041666666666,57.1708333333333,49.356,6.12,83.25,260.24,14.655,Medium
1371.26,21.4141666666666,59.9791666666666,49.356,6.12,83.25,260.24,14.655,Medium
1623.99,21.3991666666666,60.71,49.356,6.12,83.25,260.24,14.655,Medium
1037.01,22.3016666666666,52.2825,49.356,6.12,83.25,260.24,14.655,Medium
1144.38,22.5658333333333,54.1525,49.356,6.12,83.25,260.24,14.655,Medium
1241.14,21.3958333333333,59.07,49.356,6.12,83.25,260.24,14.655,Medium
1235.25,21.6958333333333,54.1675,49.356,6.12,83.25,260.24,14.655,Medium
1706.64999999999,21.1591666666666,62.7058333333333,49.356,6.12,83.25,260.24,14.655,Medium
1652.53,21.6525,60.0341666666666,49.356,6.12,83.25,260.24,14.655,Medium
1790.26,21.7975,60.0983333333333,49.356,6.12,83.25,260.24,14.655,Medium
1743.42999999999,22.3316666666666,57.4366666666666,49.356,6.12,83.25,260.24,14.655,Medium
1749.86,22.3241666666666,59.3533333333333,49.356,6.12,83.25,260.24,14.655,Medium
807.05,18.1933333333333,49.4708333333333,58.898,6.5,102.23,390.23,16.365,Medium
898.57,18.1475,51.9541666666666,58.898,6.5,102.23,390.23,16.365,Medium
1143.14,17.72,54.4216666666666,58.898,6.5,102.23,390.23,16.365,Medium
957.34,18.2725,53.7391666666666,58.898,6.5,102.23,390.23,16.365,Medium
1325.8,17.6675,57.5175,58.898,6.5,102.23,390.23,16.365,Medium
1241.32,17.625,57.6591666666666,58.898,6.5,102.23,390.23,16.365,Medium
974.11,18.64,49.9499999999999,58.898,6.5,102.23,390.23,16.365,Medium
1307.06,18.7058333333333,53.4366666666666,58.898,6.5,102.23,390.23,16.365,Medium
1452.37,17.4275,60.1816666666666,58.898,6.5,102.23,390.23,16.365,Medium
909.25,17.9058333333333,55.0466666666666,58.898,6.5,102.23,390.23,16.365,Medium
1532.72,17.7683333333333,63.7408333333333,58.898,6.5,102.23,390.23,16.365,Medium
992.14,18.2533333333333,55.85,58.898,6.5,102.23,390.23,16.365,Medium
971.59,18.2,57.4808333333333,58.898,6.5,102.23,390.23,16.365,Medium
877.96,18.9366666666666,52.1291666666666,58.898,6.5,102.23,390.23,16.365,Medium
996.99,18.7908333333333,54.73,58.898,6.5,102.23,390.23,16.365,Medium
671.01,17.7666666666666,49.1766666666666,54.124,6.2,113.2,435.23,15.235,Low
984.87,17.5341666666666,54.2916666666666,54.124,6.2,113.2,435.23,15.235,Low
1242.66999999999,17.1683333333333,56.665,54.124,6.2,113.2,435.23,15.235,Low
1116.11,17.4691666666666,57.9091666666666,54.124,6.2,113.2,435.23,15.235,Low
1500.54,16.9891666666666,61.3958333333333,54.124,6.2,113.2,435.23,15.235,Low
1440.67,16.9666666666666,61.4325,54.124,6.2,113.2,435.23,15.235,Low
1051.47,17.8908333333333,53.845,54.124,6.2,113.2,435.23,15.235,Low
1285.03,18.015,56.6833333333333,54.124,6.2,113.2,435.23,15.235,Medium
1600.87,16.87,63.025,54.124,6.2,113.2,435.23,15.235,Medium
1099.08,17.1766666666666,58.7075,54.124,6.2,113.2,435.23,15.235,Medium
1726.89,17.1074999999999,66.7975,54.124,6.2,113.2,435.23,15.235,Medium
1157.55,17.4841666666666,59.6999999999999,54.124,6.2,113.2,435.23,15.235,Medium
1170.85,17.3633333333333,61.4516666666666,54.124,6.2,113.2,435.23,15.235,Medium
1168.61,18.0516666666666,57.0291666666666,54.124,6.2,113.2,435.23,15.235,Medium
1187.81,18.0616666666666,58.47,54.124,6.2,113.2,435.23,15.235,Medium
635.1,18.8958333333333,47.8033333333333,44.256,6.9,119.65,422.23,21.254,Medium
1116.67,18.5375,53.8466666666666,44.256,6.9,119.65,422.23,21.254,Medium
1322.87,18.3283333333333,55.2791666666666,44.256,6.9,119.65,422.23,21.254,Medium
1242.4,18.485,57.2533333333333,44.256,6.9,119.65,422.23,21.254,Medium
1576.23,18.0508333333333,60.3775,44.256,6.9,119.65,422.23,21.254,Medium
1765.53,18.0291666666666,60.7216666666666,44.256,6.9,119.65,422.23,21.254,Medium
1161.23,18.8733333333333,53.3975,44.256,6.9,119.65,422.23,21.254,Medium
1277.98,19.0791666666666,55.5766666666666,44.256,6.9,119.65,422.23,21.254,Medium
1561.98,17.9708333333333,60.8883333333333,44.256,6.9,119.65,422.23,21.254,Medium
1326.16,18.1491666666666,56.9216666666666,44.256,6.9,119.65,422.23,21.254,Medium
1850.57,17.9824999999999,65.145,44.256,6.9,119.65,422.23,21.254,Medium
1414.57,18.4433333333333,58.4516666666666,44.256,6.9,119.65,422.23,21.254,Medium
1263.45,18.4666666666666,59.1691666666666,44.256,6.9,119.65,422.23,21.254,Medium
1383.43,19.06,55.9858333333333,44.256,6.9,119.65,422.23,21.254,Medium
1341.81,19.09,57.5275,44.256,6.9,119.65,422.23,21.254,Medium
583.949999999999,10.0041666666666,52.6891666666666,45.95,6.7,132.05,471.65,10.08,Low
666.69,10.1033333333333,55.0591666666666,45.95,6.7,132.05,471.65,10.08,Low
834.85,9.425,58.8425,45.95,6.7,132.05,471.65,10.08,Low
710.12,10.1341666666666,58.2116666666666,45.95,6.7,132.05,471.65,10.08,Low
965.069999999999,9.58499999999999,60.9008333333333,45.95,6.7,132.05,471.65,10.08,Low
864.04,9.63583333333333,61.0216666666666,45.95,6.7,132.05,471.65,10.08,Low
682.07,10.3516666666666,53.31,45.95,6.7,132.05,471.65,10.08,Low
939.54,10.3983333333333,56.5825,45.95,6.7,132.05,471.65,10.08,Low
1000.08,9.38083333333333,63.8791666666666,45.95,6.7,132.05,471.65,10.08,Low
640.55,9.4475,60.9566666666666,45.95,6.7,132.05,471.65,10.08,Low
1084.87,9.57166666666666,69.2225,45.95,6.7,132.05,471.65,10.08,Low
752.31,9.74833333333333,63.0075,45.95,6.7,132.05,471.65,10.08,Low
753.0,9.8425,64.8475,45.95,6.7,132.05,471.65,10.08,Low
615.44,10.92,57.0133333333333,45.95,6.7,132.05,471.65,10.08,Low
762.459999999999,10.4766666666666,61.1125,45.95,6.7,132.05,471.65,10.08,Low
480.89,17.095,50.9791666666666,45.05,6.0,138.03,385.23,13.13,Low
1241.72,16.3608333333333,61.6091666666666,45.05,6.0,138.03,385.23,13.13,Low
1066.27,16.5766666666666,59.2666666666666,45.05,6.0,138.03,385.23,13.13,Low
1096.05,16.7408333333333,61.0049999999999,45.05,6.0,138.03,385.23,13.13,Low
1182.71,16.3483333333333,64.04,45.05,6.0,138.03,385.23,13.13,Low
1314.43,16.3458333333333,64.1441666666666,45.05,6.0,138.03,385.23,13.13,Low
869.93,17.1725,55.5041666666666,45.05,6.0,138.03,385.23,13.13,Low
1006.37,17.3216666666666,57.7683333333333,45.05,6.0,138.03,385.23,13.13,Low
1084.54,16.2291666666666,63.7816666666666,45.05,6.0,138.03,385.23,13.13,Low
1006.99,16.4749999999999,56.6825,45.05,6.0,138.03,385.23,13.13,Low
1423.04,16.2291666666666,64.5066666666666,45.05,6.0,138.03,385.23,13.13,Low
1370.13999999999,16.5883333333333,63.5775,45.05,6.0,138.03,385.23,13.13,Low
1276.56,16.6558333333333,64.4958333333333,45.05,6.0,138.03,385.23,13.13,Low
1210.85,17.2525,61.5425,45.05,6.0,138.03,385.23,13.13,Low
1171.58,17.2,62.9375,45.05,6.0,138.03,385.23,13.13,Low
678.79,15.335,59.93,60.0,6.4,58.54,466.35,22.11,Very Low
988.849999999999,15.0541666666666,65.87,60.0,6.4,58.54,466.35,22.11,Very Low
947.98,15.2391666666666,63.645,60.0,6.4,58.54,466.35,22.11,Very Low
876.86,15.5333333333333,63.5575,60.0,6.4,58.54,466.35,22.11,Very Low
1024.27,15.15,66.8225,60.0,6.4,58.54,466.35,22.11,Very Low
935.12,15.1041666666666,67.3133333333333,60.0,6.4,58.54,466.35,22.11,Very Low
830.22,15.6708333333333,60.4033333333333,60.0,6.4,58.54,466.35,22.11,Very Low
1159.9,15.595,63.935,60.0,6.4,58.54,466.35,22.11,Very Low
1163.6,14.7983333333333,69.2158333333333,60.0,6.4,58.54,466.35,22.11,Very Low
899.91,15.0583333333333,60.4933333333333,60.0,6.4,58.54,466.35,22.11,Very Low
1240.59,15.2183333333333,64.4183333333333,60.0,6.4,58.54,466.35,22.11,Very Low
936.45,15.4383333333333,65.1083333333333,60.0,6.4,58.54,466.35,22.11,Very Low
1159.88,15.445,68.4591666666666,60.0,6.4,58.54,466.35,22.11,Very Low
1265.27,15.8708333333333,67.8383333333333,60.0,6.4,58.54,466.35,22.11,Very Low
1095.81,15.6825,69.0625,60.0,6.4,58.54,466.35,22.11,Very Low
784.06,25.095,50.4816666666666,45.93,6.4,62.32,256.65,17.21,High
1207.91,24.685,55.7716666666666,45.93,6.4,62.32,256.65,17.21,High
1106.32,25.1433333333333,53.9325,45.93,6.4,62.32,256.65,17.21,High
1212.71,24.8783333333333,55.5791666666666,45.93,6.4,62.32,256.65,17.21,High
1424.25,24.2133333333333,60.3475,45.93,6.4,62.32,256.65,17.21,High
1636.37999999999,24.2866666666666,61.5366666666666,45.93,6.4,62.32,256.65,17.21,High
964.71,25.3508333333333,51.4408333333333,45.93,6.4,62.32,256.65,17.21,High
1027.43,25.4241666666666,53.7066666666666,45.93,6.4,62.32,256.65,17.21,High
1253.88,24.3408333333333,58.5508333333333,45.93,6.4,62.32,256.65,17.21,High
1055.0,24.5266666666666,53.1441666666666,45.93,6.4,62.32,256.65,17.21,High
